game_time,job_ID,company_from,city_from,company_to,city_to,urgency,shortest_distance_km,ferry_time,ferry_price,cargo,company_truck,trailer_variant,trailer_definition,units_count,fill_ratio,trailer_place
69786,_nameless.1de.4183.d0b0,artemia,mitilini,eolo_lines,porto_vecchi,0,1210,2295,3287,used_plast,volvo_fh2024_4x2_420,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69786,_nameless.1de.4183.e430,low_field,mitilini,icaria,heraklion,0,65,1215,2068,rye,volvo_fh2021_6x2_540,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,39,1,0
69786,_nameless.1de.4183.e6a0,low_field,mitilini,low_field,patras,0,347,675,1308,tractor_c,"""heavy/volvo_fh2024_6x4_600""",trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69786,_nameless.1de.4183.cd70,low_field,mitilini,tm_istanbul,istanbul,0,486,730,1440,kr_stc1370,volvo_fh16_6x4_700,trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69786,_nameless.1de.4183.da70,low_field,mitilini,balkan_loco,pleven,1,598,730,1440,oranges,scania_streamline_4x2_top_560,trailer.coolliner17,trailer_def.krone.coolliner.single_3.reefer,33,1,0
69786,_nameless.1de.4183.c070,low_field,mitilini,kaarfor,ostrava,0,1546,730,1440,garlic,scania_r_6x4_top_620,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69786,_nameless.1de.4183.d9a0,rock_eater,argostoli,te_logistica,cagliari,0,284,1870,2344,watertank,scania_r2016_6x2_high_460,trailer.kasbhr_slle,trailer_def.kassbohrer.sll.single_3_ln.low,2,1,0
69786,_nameless.1de.4183.e020,rock_eater,argostoli,icaria,mitilini,1,295,915,1818,coal,volvo_fh2024_4x2_780,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,18,1,0
69786,_nameless.1de.4183.ce40,rock_eater,argostoli,balkan_loco,maribor,0,1521,460,720,mob_crusher,"""heavy/renault_6x4""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1de.4183.e360,rock_eater,argostoli,icaria,kalamata,0,279,240,510,ore,mercedes_actros_2014_6x4_b,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,14,1,0
69786,_nameless.1de.4183.ddb0,rock_eater,athens,st_roza_bg,pernik,1,771,0,0,ore,renault_magnum_6x2_a,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,12,1,0
69786,_nameless.1de.4183.de80,rock_eater,athens,sanbuild_cem,thessaloniki,2,542,0,0,stone_dust,scania_r2016_6x2_high_460,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,16,1,0
69786,_nameless.1de.4183.df50,rock_eater,athens,christopoulo,heraklion,2,60,540,760,sand,scania_r_4x2_top_480,trailer.ffb_eut35,trailer_def.feldbinder.eut.single_3_35.silo_35_3p,20,1,0
69786,_nameless.1de.4183.f200,rock_eater,athens,acc,taranto,0,591,570,745,empty_spool,daf_6x2_a,trailer.scs_flat_b,trailer_def.scs.flatbed.single_3.flatbed_w,4,1,0
69786,_nameless.1de.4183.c3b0,bjork_hrv,falun,renar,kokkola,0,484,300,680,log_stacker,"""heavy/scania_r_6x4_top_730""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1de.4183.e9e0,bjork_hrv,falun,renar,kuusamo,2,934,0,0,mob_tr_winch,"""heavy/scania_r2016_8x4_high_730""",trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,1,1,0
69786,_nameless.1de.4183.eab0,bjork_hrv,falun,gnt,vilnius,2,684,510,1110,logs,volvo_fh16_4x2_420,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1de.4183.eb80,freyr,falun,nordic_ports,sundsvall,2,217,0,0,horse_tr,renault_magnum_6x2_a,trailer.truck_trans,trailer_def.horse_tr.truck_trans,100,1,0
69786,_nameless.1de.4183.eec0,freyr,falun,ateria,tallinn,1,333,570,1270,cheese,daf_xf_4x2_370,trailer.scs_ref,trailer_def.scs.box.single_3.reefer,33,1,0
69786,_nameless.1de.4183.edf0,freyr,falun,eviksi_a,liepaja,0,366,510,1110,live_pigs,scania_r2016_6x2_high_460,trailer.scs_livestk,trailer_def.scs.livestock.single_3s.str_stl,50,1,0
69786,_nameless.1de.4183.bed0,freyr,falun,freyr,jonkoping,1,374,0,0,sprayer,daf_xf_euro6_6x4_c,trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69786,_nameless.1de.4183.c960,freyr,falun,renar,lillehammer,0,356,0,0,milk_t,man_6x4_b,trailer.scs_fodt,trailer_def.scs.foodtank.single_3.paint,28,1,0
69786,_nameless.1de.4183.cfe0,egres,kokkola,gnt,panevezys,0,973,150,430,kr_vpv190xc,volvo_fh16_6x4_700,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69786,_nameless.1de.4183.ef90,egres,kokkola,ateria,lahti,0,387,0,0,wheat,man_tgx_2020,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,42,1,0
69786,_nameless.1de.4183.c140,egres,kokkola,blt,tartu,0,735,150,430,cont_trees,volvo_fh2012_4x2_750,trailer.scs_ins_a,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1de.4183.c6f0,egres,kokkola,suprema,kuusamo,0,312,0,0,onion,renault_etech_t,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69786,_nameless.1de.4183.f3a0,agronord,borlange,baltomorsk,kaunas,2,585,510,1110,tractors,man_tgx_2020_6x2,trailer.scs_lowbed_3,trailer_def.scs.lowbed.single_3.short,1,1,0
69786,_nameless.1de.4183.f6e0,agronord,borlange,rt_log,koln,0,1554,0,0,honey,man_tgx_2020_4x2,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69786,_nameless.1de.4183.f7b0,agronord,borlange,freyr,lillehammer,1,352,0,0,wheat,mercedes_4x2,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,27,1,0
69786,_nameless.1de.4183.f880,agronord,borlange,sal_fi,oulu,1,801,0,0,frsh_herbs,renault_t_4x2,trailer.scs_ins,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1de.4183.faf0,bjork_hrv,kiruna,norrsken,alta,0,680,0,0,log_stacker,"""heavy/volvo_fh16_6x4_750""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1de.4183.fbc0,bjork_hrv,kiruna,egres,helsinki,0,1103,0,0,jcb_wload457,volvo_fh2024_4x2_780,trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1de.4183.f950,bjork_hrv,kiruna,byggpro,falun,2,891,0,0,wshavings,daf_xgp25_4x2_530,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,60,1,0
69786,_nameless.1db.0513.8c60,bjork_hrv,kiruna,skog_paper,borlange,2,908,0,0,logs,scania_s2016_4x2_norm_370,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.0513.a9a0,freyr,lillehammer,kaarfor,kassel,0,1581,0,0,cheese,"""double/scania_r_4x2_top_500""",trailer.scs_ref_b2,trailer_def.scs.box.bdouble_3_3.reefer,26,1,0
69786,_nameless.1db.0513.8d30,freyr,lillehammer,fle,kristiansund,2,380,40,46,live_cattle,man_6x4_b,trailer.scs_livestk,trailer_def.scs.livestock.single_3s.str_stl,42,1,0
69786,_nameless.1db.0513.a590,freyr,lillehammer,nordic_ports,trondheim,2,338,0,0,kr_gx520,renault_premium_4x2_a,trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69786,_nameless.1db.0513.9890,freyr,bodo,norrsken,alta,2,861,30,45,horse_tr,scania_streamline_4x2_norm_380,trailer.truck_trans,trailer_def.horse_tr.truck_trans,100,1,0
69786,_nameless.1db.0513.8920,freyr,joensuu,egres,kajaani,0,286,0,0,forage_harv,renault_premium_4x2_a,trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1db.0513.a8d0,freyr,joensuu,nch,kouvola,2,264,0,0,live_cattle,mercedes_4x2_c,trailer.scs_livestk,trailer_def.scs.livestock.single_3s.str_stl,42,1,0
69786,_nameless.1db.0513.8ed0,freyr,joensuu,norrsken,orebro,0,842,540,1170,drymilk,scania_r2016_4x2_norm_370,trailer.kasbhr_scs,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69786,_nameless.1db.0513.9140,freyr,joensuu,norr_food,linkoping,1,898,540,1170,milk_t,mercedes_4x2_b,trailer.ffb_tsalm32,trailer_def.feldbinder.tsalm.single_3_32.32_3_2,27,1,0
69786,_nameless.1db.0513.9960,freyr,joensuu,nordic_ports,bodo,2,1088,0,0,planter,scania_r2016_4x2_norm_370,trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1db.0513.a4c0,egres,kajaani,nutri_molle,hamar,2,1136,0,0,carrots,daf_xf_euro6_6x4_c,trailer.scs_curt,trailer_def.scs.box.single_3.curtain,33,1,0
69786,_nameless.1db.0513.89f0,egres,kajaani,nosko,vilnius,0,1172,150,430,wheat,man_tgx_2020_4x2,trailer.ffb_eut35,trailer_def.feldbinder.eut.single_3_35.silo_35_3p,35,1,0
69786,_nameless.1db.0513.8510,egres,kajaani,renar,skelleftea,0,383,0,0,tomatoes,volvo_fh2012_4x2_420,trailer.coolliner17,trailer_def.krone.coolliner.single_3.reefer,33,1,0
69786,_nameless.1db.0513.8ac0,egres,kajaani,sal_fi,helsinki,0,573,0,0,kr_stc1370,iveco_sway_4x2_500,trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1db.0513.7a80,agronord,umea,freyr,lillehammer,0,785,0,0,kr_vpv190xc,daf_xd,trailer.scs_lowbed_4,trailer_def.scs.lowbed.single_4_sh.short,1,1,0
69786,_nameless.1db.0513.9b00,agronord,umea,renar,lulea,2,192,0,0,plums,scania_r2016_6x4_high_660,trailer.scs_ref_s,trailer_def.scs.box.single_3.reefer,33,1,0
69786,_nameless.1db.0513.92e0,agronord,umea,freyr,lillehammer,0,785,0,0,wheat,renault_t_6x2,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,42,1,0
69786,_nameless.1db.0513.8fa0,agronord,umea,norr_food,karlskrona,2,1006,0,0,tomatoes,man_tgx_euro6_6x4_xlx,trailer.scs_ins_s,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1db.0513.9210,agronord,umea,nordic_ports,trondheim,1,687,0,0,tractor_c,"""heavy/daf_6x4""",trailer.kasbhr_slle,trailer_def.kassbohrer.sll.single_3_ln.low,1,1,0
69786,_nameless.1db.0513.7cf0,lintukai_hrv,jyvaskyla,onnelik,narva,0,542,150,430,lumber,volvo_fh2024_6x2_500,trailer.profilinehd,trailer_def.krone.profilinerhd.single_3.flatbed,3,1,0
69786,_nameless.1db.0513.7e90,lintukai_hrv,jyvaskyla,drekkar,malmo,2,1043,540,1170,log_harvest,"""heavy/mercedes_6x4""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1db.0513.9480,lintukai_hrv,jyvaskyla,lintukainen,kotka,2,336,0,0,logs,scania_r2016_6x4_high_660,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.0513.9f10,lintukai_hrv,kuusamo,onnelik,parnu,2,902,150,430,wood_bark,volvo_fh2024_4x2_420,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,27,1,0
69786,_nameless.1db.0513.9ca0,lintukai_hrv,kuusamo,gnt,ventspils,1,1249,150,430,exc_craw,"""heavy/volvo_fh2012_8x4_700""",trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69786,_nameless.1db.0513.9d70,lintukai_hrv,kuusamo,norse_rail,ostersund,0,879,0,0,wshavings,man_6x4_b,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,27,1,0
69786,_nameless.1db.0513.7f60,lintukai_hrv,kuusamo,byggpro,lulea,0,371,0,0,logs,man_6x4_b,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.0513.8030,lintukai_hrv,tornio,norse_rail,kiruna,2,296,0,0,volvo_ec220e,daf_xd_2,trailer.scs_lowbed_3,trailer_def.scs.lowbed.single_3.short,1,1,0
69786,_nameless.1db.0513.a0b0,lintukai_hrv,tornio,renar,arvidsjaur,0,301,0,0,logs,man_tgx_euro6_6x4_xlx,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.0513.b1c0,lintukai_hrv,tornio,nch,tallinn,0,835,150,430,wood_bark,iveco_sway_4x2_500,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,27,1,0
69786,_nameless.1db.0513.b5d0,lintukai_hrv,ivalo,byggpro,lulea,0,387,0,0,wshavings,daf_xd_2,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,60,1,0
69786,_nameless.1db.0513.ace0,lintukai_hrv,ivalo,sal_fi,kouvola,2,874,0,0,crawler,"""heavy/scania_s2016_8x4_high_770""",trailer.scs_lowlow2e,trailer_def.scs.lowloader.single_2_ln.long,1,1,0
69786,_nameless.1db.0513.b020,lintukai_hrv,ivalo,renar,turku,2,961,0,0,logs,renault_t_4x2h,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.0513.ae80,bjork_hrv,ostersund,ms_stein,trondheim,2,383,0,0,digger500,daf_xf_euro6_4x2_c,trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,1,1,0
69786,_nameless.1db.0513.b0f0,bjork_hrv,ostersund,lintukainen,kouvola,0,754,300,680,forwarder,"""heavy/scania_r_6x4_top_730""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1db.0513.af50,bjork_hrv,ostersund,nordic_ports,trondheim,2,370,0,0,logs,scania_s2016_4x2_high_590,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.02dd.3200,bjork_hrv,ostersund,freyr,lillehammer,0,687,0,0,wshavings,mercedes_actros_2014_4x2_c,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,60,1,0
69786,_nameless.1db.02dd.47f0,freyr,mikkeli,sellplan,olsztyn,0,1158,150,430,sheep_wool,scania_r_4x2_top_480,trailer.scs_dry_s,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1db.02dd.3c90,freyr,mikkeli,blt,kaunas,0,873,150,430,milk_t,renault_magnum_4x2_a,trailer.scs_fodt,trailer_def.scs.foodtank.single_3.paint,23,1,0
69786,_nameless.1db.02dd.33a0,freyr,mikkeli,nch,tallinn,0,345,150,430,live_cattle,daf_xf_euro6_6x2_a,trailer.scs_livestk,trailer_def.scs.livestock.single_3s.str_stl,42,1,0
69786,_nameless.1db.02dd.40a0,freyr,mikkeli,sal_fi,helsinki,0,272,0,0,jcb_wload457,iveco_4x2_a,trailer.scs_lowbed_3,trailer_def.scs.lowbed.single_3.short,1,1,0
69786,_nameless.1db.02dd.4f40,freyr,mikkeli,aerobalt,turku,2,331,0,0,live_pigs,daf_xd,trailer.scs_livestk,trailer_def.scs.livestock.single_3s.str_stl,50,1,0
69786,_nameless.1db.02dd.4da0,agronord,mo_i_rana,norse_rail,ostersund,0,647,0,0,barley,scania_s2016_6x2_high_460,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,27,1,0
69786,_nameless.1db.02dd.4b30,agronord,mo_i_rana,polarislines,nynashamn,0,1030,0,0,apples,man_4x2_a,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69786,_nameless.1db.02dd.4e70,agronord,mo_i_rana,sag_tre,steinkjer,2,355,0,0,tractor,mercedes_actros_2014_4x2_b,trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,1,1,0
69786,_nameless.1db.02dd.4580,nord_sten,kiruna,renar,arvidsjaur,0,353,0,0,vol_ew240emh,"""heavy/mercedes_actros_8x4""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
69786,_nameless.1db.02dd.3130,nord_sten,kiruna,renar,karesuando,0,174,0,0,driller,mercedes_6x4_a,trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,1,1,0
69786,_nameless.1db.02dd.4170,nord_sten,kiruna,mjolnir_min,arvidsjaur,1,372,0,0,ore,daf_xf_euro6_6x4_c,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,15,1,0
69786,_nameless.1db.02dd.3e30,nord_sten,kiruna,ms_stein,oslo,0,1384,0,0,dozer,"""heavy/volvo_fh16_6x4_750""",trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,1,1,0
69786,_nameless.1db.02dd.4240,nord_sten,kiruna,fjoste,borlange,0,909,0,0,gravel,man_6x4_b,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,16,1,0
69786,_nameless.1db.02dd.4310,nord_sten,kiruna,nordic_ports,ornskoldsvik,1,587,0,0,stone_dust,daf_6x2_a,trailer.ffb_eut35,trailer_def.feldbinder.eut.single_3_35.silo_35_3p,17,1,0
69786,_nameless.1db.02dd.48c0,ocean_sol,athens,icaria,chania,0,7,540,826,lux_yacht,renault_etech_t,trailer.kasbhr_slle,trailer_def.kassbohrer.sll.single_3_ln.low,1,1,0
69786,_nameless.1db.02dd.43e0,ocean_sol,athens,icaria,chios,2,6,540,840,empty_palet,mercedes_6x2_b,trailer.profiliner17,trailer_def.krone.profiliner.single_3.curtain,33,1,0
69786,_nameless.1db.02dd.4990,ocean_sol,athens,balkan_loco,ruse,2,1080,0,0,scrap_metals,mercedes_4x2_a,trailer.scs_dumper,trailer_def.scs.dumper.single_3.steel,8,1,0
69786,_nameless.1db.02dd.4650,norr_food,karlskrona,lkwlog,lodz,0,369,630,790,used_packag,volvo_fh2024_4x2_420,trailer.scs_dry_ms,trailer_def.scs.box.single_3.dryvan_m,33,1,0
69786,_nameless.1db.02dd.4720,domdepo,valmiera,renar,parnu,1,251,0,0,scaffoldings,mercedes_actros_2014_4x2_c,trailer.scs_curt_s,trailer_def.scs.box.single_3.curtain,33,1,0
69786,_nameless.1db.02dd.3470,domdepo,valmiera,tree_et,bratislava,2,1329,0,0,logs,daf_xd_1,trailer.scs_log,trailer_def.scs.log.single_3.steel,32,1,0
69786,_nameless.1db.02dd.36e0,domdepo,valmiera,agronord,karlstad,0,652,510,1110,sawpanels,renault_t_6x2,trailer.scs_dry_a,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1db.02dd.3880,domdepo,valmiera,sal_fi,kajaani,2,912,150,430,iron_pipes,volvo_fh2024_4x2_780,trailer.scs_log,trailer_def.scs.log.single_3.steel,28,1,0
69786,_nameless.1db.02dd.3d60,tesore_gust,napoli,icaria,heraklion,0,750,1110,1505,beverages,daf_xg_4x2_450,trailer.kasbhr_shg45,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69786,_nameless.1db.02dd.3a20,tesore_gust,napoli,icaria,argostoli,1,255,1030,1465,gummy_bears,scania_r_4x2_norm_360,trailer.scs_curt,trailer_def.scs.box.single_3.curtain,33,1,0
69786,_nameless.1db.02dd.3bc0,engeron,puertollano,lisette_log,bordeaux,0,894,0,0,ter_forklift,volvo_fh2012_4x2_420,trailer.scs_flat_b,trailer_def.scs.flatbed.single_3.flatbed_w,2,1,0
69786,_nameless.1db.02d8.32c0,domdepo,bailen,scs_paper,setubal,0,675,0,0,wshavings,scania_s2016_6x2_high_460,trailer.ffb_kip60,trailer_def.feldbinder.kip.single_3_60.silo_60_3p,60,1,0
69786,_nameless.1db.02d8.43d0,domdepo,bailen,app,valencia,0,377,0,0,copp_rf_gutt,man_6x4_b,trailer.scs_dry_s,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1db.02d8.3460,ika_bohag,napoli,tras_med,genova,0,749,0,0,empty_palet,mercedes_actros_2014_4x2_a,trailer.kasbhr_shg45,trailer_def.kassbohrer.scs.single_3_13.curtain,34,1,0
69786,_nameless.1db.02d8.31f0,ika_bohag,napoli,brawen,skopje,2,598,540,420,pot_flowers,daf_xd_2,trailer.scs_ins,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1db.02d8.4300,acc,catania,tras_med,cagliari,1,243,720,778,jcb_pw125qe,scania_r_4x2_norm_360,trailer.scs_flat_b,trailer_def.scs.flatbed.single_3.flatbed_w,24,1,0
69786,_nameless.1db.02d8.3530,acc,catania,ccg_fla,thessaloniki,2,875,590,1092,iron_pipes,scania_streamline_6x4_top_480,trailer.scs_log,trailer_def.scs.log.single_3.steel,28,1,0
69786,_nameless.1db.02d8.2de0,acc,catania,exomar,roma,0,794,20,347,jcb_dmphtd5e,daf_xf_euro6_6x2_a,trailer.scs_flat_b,trailer_def.scs.flatbed.single_3.flatbed_w,7,1,0
69786,_nameless.1db.02d8.3a10,acc,catania,exomar,cordoba,1,777,1557,1788,largetubes,scania_r_6x4_top_620,trailer.scs_log,trailer_def.scs.log.single_3.steel,6,1,0
69786,_nameless.1db.02d8.3d50,polar_fish,svolvaer,norr_food,bodo,0,236,150,132,smokd_eel,mercedes_4x2_b,trailer.scs_ref_a,trailer_def.scs.box.single_3.reefer,33,1,0
69786,_nameless.1db.02d8.2830,polar_fish,svolvaer,norr_food,andenes,1,301,0,0,frozen_hake,"""double/daf_4x2_a""",trailer.scs_ref_b2,trailer_def.scs.box.bdouble_3_3.reefer,52,1,0
69786,_nameless.1db.02d8.3bb0,subse,nantes,stokes,plymouth,0,382,420,1000,packag_food,scania_r2016_6x2_high_460,trailer.scs_dry,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1db.02d8.3c80,subse,nantes,trans_cab,santander,0,844,0,0,chicken_meat,volvo_fh2024_6x2_500,trailer.scs_ins_a,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1db.02d8.4090,subse,nantes,eurogoodies,plymouth,2,380,420,1000,soy_milk,man_6x4_b,trailer.scs_dry_s,trailer_def.scs.box.single_3.dryvan,33,1,0
69786,_nameless.1db.02d8.2b70,subse,nantes,supercesta,albacete,2,1347,0,0,pork_meat,volvo_fh2024_6x2_500,trailer.scs_ins_s,trailer_def.scs.box.single_3.insulated,33,1,0
69786,_nameless.1db.02d8.2c40,subse,nantes,tradeaux,dusseldorf,0,978,0,0,soy_milk_t,mercedes_actros_2014_6x4_b,trailer.ffb_tsalm32,trailer_def.feldbinder.tsalm.single_3_32.32_3_2,23,1,0
69786,_nameless.1db.02d8.3120,bhv,linkoping,blt,kaunas,2,517,510,1110,caravans,scania_streamline_6x2_norm_440,trailer.truck_trans,trailer_def.caravans.truck_trans,100,1,0
69786,_nameless.1db.02d8.4160,tree_et,bialystok,blt,siauliai,1,398,0,0,jcb_ft4220,renault_t_4x2h,trailer.scs_lowbed41,trailer_def.scs.lowbed.single_41_ln.long,1,1,0
69786,_nameless.1db.02d8.2f80,tree_et,bialystok,tree_et,metz,2,1426,0,0,forwarder,"""heavy/man_tgx_euro6_8x4_xlx""",trailer.scs_lowlow4e,trailer_def.scs.lowloader.single_4_ln.long,1,1,0
